date,busloans_psavert_ratio,busloans_psavert_ratio_ma6,busloans_psavert_ratio_yoy_pct,busloans_psavert_ratio_zscore24,cpi_yoy_pct,cpi_yoy_pct_ma6,cpi_yoy_pct_zscore24,y_crisis_t_plus_18m
1982-12-01,35.967146788990824,33.66291206149907,27.314535245296124,2.1947392374364116,3.825717321997879,5.133173800898076,-1.8526964965180062,0
1983-01-01,35.422198198198195,34.4460290945321,25.778598656964014,1.7606479379854114,3.7076271186440746,4.658215479142032,-1.723491048266159,0
1983-02-01,35.12103571428572,35.15474438024639,16.838486747641856,1.493738213532572,3.484688489968324,4.244781420528654,-1.6477470695399856,0
1983-03-01,36.804186915887854,35.718426530045356,22.35212613249469,1.8042849094776952,3.5902851108764455,4.019674982688689,-1.462798996833146,0
1983-04-01,38.09960194174757,36.22919798462234,31.428745987300832,1.9173821406669405,4.0000000000000036,3.847654996964208,-1.196080992484151,0
1983-05-01,39.544505050505045,36.8264457682692,28.315338678486057,2.005480077683644,3.44108446298228,3.6749004174115005,-1.2928482687698055,0
1983-06-01,42.80864130434783,37.966694854162036,37.234512314359435,2.3490727577710873,2.4742268041237248,3.449651997765809,-1.5085141047424033,0
1983-07-01,41.009742268041244,38.89795219913588,33.48006446936,1.7445427135786862,2.358974358974364,3.224876537820857,-1.4375669637822546,0
1983-08-01,43.65071739130435,40.31956581197232,41.40749423204373,2.0058305960847194,2.456499488229258,3.0535117041976796,-1.3141271001801424,0
1983-09-01,41.930104166666666,41.17388535376879,25.456245037253368,1.514517755452311,2.763561924257929,2.9157245064279262,-1.1389362688075808,0
1983-10-01,41.82975257731959,41.79557712636412,19.39427588962237,1.3797622824936342,2.752293577981657,2.7077734360915353,-1.0902068153454634,0
1983-11-01,39.768679611650484,41.83293955322169,10.58830210566699,0.9112977387491406,3.1632653061224536,2.6614702432815647,-0.8512559685089758,0
1983-12-01,40.98419801980198,41.52886567246405,13.948983110183267,1.0700017120859788,3.7871033776867957,2.880283005542076,-0.48125775279373423,0
1984-01-01,41.98034343434343,41.69063253351442,18.51422432749763,1.1856892833596593,4.290091930541351,3.202135934136574,-0.13154552032344236,0
1984-02-01,36.51558620689655,40.501444002779785,3.9706986546629297,-0.019645595097449228,4.693877551020398,3.5750322779350974,0.19571656436136034,0
1984-03-01,37.80230701754386,39.81347781125931,2.711974330358413,0.20092458677058944,4.892966360856277,3.929933017368155,0.4003080177517283,0
1984-04-01,38.406789473684206,39.24298396065342,0.8062749117597301,0.2703954715041931,4.5546558704453455,4.23032673277877,0.24181767615151972,0
1984-05-01,40.57439090909091,39.37726917689349,2.6043715992159377,0.7449477790225206,4.3346774193548265,4.425562084984166,0.17600400240485314,0
