date,ipbuseq_pce_ratio,ipbuseq_pce_ratio_ma6,ipbuseq_pce_ratio_yoy_pct,ipbuseq_pce_ratio_zscore24,nasdaq_gold_ratio,nasdaq_gold_ratio_ma6,nasdaq_gold_ratio_yoy_pct,nasdaq_gold_ratio_zscore24,ussthpi_gold_ratio,ussthpi_gold_ratio_ma6,ussthpi_gold_ratio_yoy_pct,ussthpi_gold_ratio_zscore24,y_crisis_t_plus_18m
1981-12-01,0.015144207562349155,0.015696287141179998,-9.543730103344616,-1.8773177056331503,0.4807470200554646,0.47189754853040916,30.427756842426888,1.2472424277960767,0.2599429393547758,0.256389823775451,33.37696914979025,1.4400945052136374,0
1982-01-01,0.014476791347453808,0.015432361191253805,-12.721528750741918,-2.3680251746464487,0.48856797001093355,0.467879324429181,36.971211157684095,1.2289856958309346,0.2763055136148279,0.2580840311459978,46.57840509543061,1.684683401801128,0
1982-02-01,0.01482297644963388,0.015264750889705449,-8.858631102234504,-1.8101553989599524,0.48814161134533873,0.46527463879154923,25.199392306526214,1.1330555543519976,0.2858988408663655,0.2616778598021924,35.013989584894944,1.7407749189910109,0
1982-03-01,0.01463405958203646,0.01506249057498423,-10.001512586025441,-1.8629391904166377,0.5247052628114406,0.48310208646110636,28.631834024625725,1.404382036331862,0.32637900580368406,0.2755222480934167,52.83724058171393,2.285777432622061,0
1982-04-01,0.014387109509944233,0.014826314629720507,-12.433926771331416,-1.9700509843445824,0.5191101504832593,0.4972058175158654,19.642437992562243,1.2429216320229037,0.31004852983157294,0.2862613305507256,43.210416518067674,1.7151943920887074,0
1982-05-01,0.01417163120567376,0.01460612927618188,-13.282534470891516,-1.9932299768419763,0.5531958886458302,0.5090779838920445,22.54723313486886,1.4761905428678943,0.3237042142379112,0.2970465072848562,43.97859209079831,1.759764342839895,0
1982-06-01,0.013888433181973537,0.01439683354611928,-13.718571596622208,-2.030155777710975,0.5463045272715729,0.5200042350947293,14.476928799297006,1.3108975396397122,0.341090439604631,0.31057109065983207,45.13971096096281,1.8479145984838512,0
1982-07-01,0.013693369365891325,0.014266263215858867,-14.738023245644417,-1.9594949611695964,0.5004137183091073,0.5219785264777582,-2.39206923331996,0.7428272874920719,0.3152196359559843,0.3170567777166915,18.44116513319969,1.278318703373984,0
1982-08-01,0.013288159223114273,0.014010460344772263,-16.049890042672878,-2.0433152952782696,0.45955228090142836,0.5172136380704397,-8.777312740395516,0.18085346945544745,0.29765075181432976,0.3190154295413522,12.603239590634097,0.8900787216271281,0
1982-09-01,0.01308082295923216,0.013751587574304882,-17.458761974506608,-1.9586575575467844,0.42325320057363686,0.5003049610308058,1.319628517259419,-0.4120518634778946,0.2514844542010626,0.3065330042742486,3.358550108105507,-0.03401731355495457,0
1982-10-01,0.01264648602878916,0.013461483660779037,-19.980043972385175,-2.03171745678632,0.482913430680812,0.4942721743970646,11.145461511515542,0.3900926397846484,0.2642188795451854,0.2988947292265174,7.5748295291112155,0.14202787978343703,0
1982-11-01,0.01246075466430931,0.013176337570551628,-19.570379490704482,-1.9333569897985288,0.547061814433889,0.4932498286950744,13.507040758391975,1.415138943135058,0.27108390175709224,0.29012467714638085,4.6683658409576,0.21613579366170807,0
